id,datetime,temp,dew,difference,windspeed,conditions
871,20-05-2019,8.8,3.5,5.3,26.6,Partially cloudy
872,21-05-2019,9,6.3,2.7,52.4,"Rain, Partially cloudy"
873,22-05-2019,15,9.8,5.2,47.7,"Rain, Partially cloudy"
874,23-05-2019,13.8,9.3,4.5,30.3,Partially cloudy
875,24-05-2019,16.4,15,1.4,48.2,"Rain, Partially cloudy"
876,25-05-2019,18.6,13.1,5.5,29.5,Clear
877,26-05-2019,17,9.9,7.1,14.6,Clear
878,27-05-2019,17.2,15.4,1.8,41.1,"Rain, Partially cloudy"
879,28-05-2019,12.5,11.4,1.1,32.5,"Rain, Overcast"
880,29-05-2019,15.6,14.5,1.1,21.8,"Rain, Partially cloudy"
881,30-05-2019,18.3,14.8,3.5,12.4,Partially cloudy
882,31-05-2019,22.4,13.9,8.5,26.5,Clear
883,01-06-2019,20,13.4,6.6,26.8,Partially cloudy
884,02-06-2019,16.9,6.4,10.5,17.9,Clear
885,03-06-2019,18.2,10.8,7.4,27,Clear
886,04-06-2019,21.6,17,4.6,28.2,"Rain, Partially cloudy"
887,05-06-2019,22.7,17,5.7,26.9,Rain
888,06-06-2019,23.6,13.9,9.7,10.3,Clear
889,07-06-2019,24.5,14.8,9.7,23.5,Clear
890,08-06-2019,23.8,11.6,12.2,27.2,Clear
891,09-06-2019,18.4,12.7,5.7,43.1,Partially cloudy
892,10-06-2019,18.4,4.9,13.5,33.1,Clear
893,11-06-2019,15.6,11.6,4,25.9,"Rain, Partially cloudy"
894,12-06-2019,16.3,9.5,6.8,39.3,"Rain, Partially cloudy"
895,13-06-2019,15.8,3.3,12.5,19.2,Clear
896,14-06-2019,19.7,12.3,7.4,44.9,"Rain, Partially cloudy"
897,15-06-2019,20.4,17.7,2.7,23.6,"Rain, Partially cloudy"
898,16-06-2019,18.6,16.8,1.8,14.5,Partially cloudy
899,17-06-2019,18.1,17.3,0.8,17.6,"Rain, Partially cloudy"
900,18-06-2019,18.8,15.8,3,14.9,"Rain, Partially cloudy"
901,19-06-2019,19.3,13.2,6.1,15.3,Clear
902,20-06-2019,19,14.1,4.9,16.6,Partially cloudy
903,21-06-2019,17.8,13.1,4.7,39.9,"Rain, Partially cloudy"
904,22-06-2019,18.6,13.7,4.9,25,"Rain, Partially cloudy"
905,23-06-2019,21,17.7,3.3,21,"Rain, Partially cloudy"
906,24-06-2019,19.3,14.6,4.7,37.3,"Rain, Partially cloudy"
907,25-06-2019,21.8,13.5,8.3,29.2,Rain
908,26-06-2019,21.7,14.5,7.2,16.5,Clear
909,27-06-2019,20.9,18.5,2.4,27.8,"Rain, Partially cloudy"
910,28-06-2019,24.5,20.1,4.4,23.8,"Rain, Partially cloudy"
911,29-06-2019,25.8,21.3,4.5,16.1,Clear
912,30-06-2019,26.9,22.4,4.5,28.9,Clear
913,01-07-2019,24.6,20.1,4.5,22.6,Partially cloudy
914,02-07-2019,25.4,20,5.4,14,"Rain, Partially cloudy"
915,03-07-2019,24,20,4,16,"Rain, Partially cloudy"
916,04-07-2019,23.6,20,3.6,31.7,"Rain, Partially cloudy"
917,05-07-2019,23.7,19.7,4,20.9,Clear
918,06-07-2019,22.8,18,4.8,25.1,Partially cloudy
919,07-07-2019,21.7,15.6,6.1,14.1,Clear
920,08-07-2019,22.7,16.5,6.2,23.6,Clear
921,09-07-2019,23.3,18.6,4.7,31,"Rain, Partially cloudy"
922,10-07-2019,23.1,17.2,5.9,39.3,Partially cloudy
923,11-07-2019,22,16.3,5.7,22.8,Clear
924,12-07-2019,23.7,17.3,6.4,24.9,Clear
925,13-07-2019,23.7,20.4,3.3,32.5,Rain
926,14-07-2019,26,20.9,5.1,16.4,Clear
927,15-07-2019,26.2,21.1,5.1,32.5,Rain
928,16-07-2019,23.3,20.5,2.8,25.4,"Rain, Partially cloudy"
929,17-07-2019,22.1,19.8,2.3,25.5,"Rain, Partially cloudy"
930,18-07-2019,26.6,22.8,3.8,22.6,"Rain, Partially cloudy"
931,19-07-2019,29.5,25.1,4.4,31.3,Clear
932,20-07-2019,23,20.5,2.5,35.5,"Rain, Partially cloudy"
933,21-07-2019,20.6,16.4,4.2,23.1,Partially cloudy
934,22-07-2019,19.4,13,6.4,24.2,Clear
935,23-07-2019,19.3,13,6.3,19.1,Clear
936,24-07-2019,20.4,13.8,6.6,12.4,Clear
937,25-07-2019,19.2,15.6,3.6,30.7,"Rain, Partially cloudy"
938,26-07-2019,23.9,18,5.9,29.1,Partially cloudy
939,27-07-2019,25.2,18.9,6.3,22.7,Clear
940,28-07-2019,23.2,19.9,3.3,24.6,"Rain, Partially cloudy"
941,29-07-2019,21.2,16.4,4.8,31,"Rain, Partially cloudy"
942,30-07-2019,17.9,11.9,6,13.9,Clear
943,31-07-2019,18.3,13.1,5.2,16.6,Clear
944,01-08-2019,20,15.3,4.7,14.6,Partially cloudy
945,02-08-2019,20.7,15.5,5.2,13.8,Clear
946,03-08-2019,22.2,15.5,6.7,15.7,Clear
947,04-08-2019,22.7,16.6,6.1,17.9,Clear
948,05-08-2019,23.8,19.7,4.1,30.3,"Rain, Partially cloudy"
949,06-08-2019,22.4,16.6,5.8,17.8,Rain
950,07-08-2019,24,17.5,6.5,24.9,Clear
951,08-08-2019,19.8,13.3,6.5,20.2,Clear
952,09-08-2019,18.6,11.9,6.7,10.9,Clear
953,10-08-2019,21.4,17.1,4.3,22.5,"Rain, Partially cloudy"
954,11-08-2019,22.1,20.1,2,16.1,Partially cloudy
955,12-08-2019,20.8,19.4,1.4,16.1,"Rain, Partially cloudy"
956,13-08-2019,22.3,17.8,4.5,26.4,"Rain, Partially cloudy"
957,14-08-2019,18.2,15.7,2.5,23.1,"Rain, Partially cloudy"
958,15-08-2019,19.5,15.3,4.2,21.6,Partially cloudy
959,16-08-2019,20.3,15.2,5.1,24.7,Partially cloudy
960,17-08-2019,19.6,15.8,3.8,20.4,Rain
961,18-08-2019,19.9,16.3,3.6,24.7,"Rain, Partially cloudy"
962,19-08-2019,19,14.3,4.7,11.3,Clear
963,20-08-2019,23,19.1,3.9,31.2,"Rain, Partially cloudy"
964,21-08-2019,19.5,16.1,3.4,20.3,Rain
965,22-08-2019,17.1,11.8,5.3,15.7,Clear
966,23-08-2019,17.3,12.4,4.9,18.3,Clear
967,24-08-2019,17.7,12.3,5.4,25,Clear
968,25-08-2019,18.2,13.2,5,28.3,Partially cloudy
969,26-08-2019,18.2,15.8,2.4,17.8,"Rain, Partially cloudy"
970,27-08-2019,18.3,10.7,7.6,44,Rain
971,28-08-2019,17,10,7,33.1,Clear
972,29-08-2019,18,11.5,6.5,34.7,Clear
973,30-08-2019,15.6,9.3,6.3,20,Clear
974,31-08-2019,15.3,11.8,3.5,15.7,"Rain, Partially cloudy"
975,01-09-2019,17,13.9,3.1,14.7,Partially cloudy
976,02-09-2019,21.5,18.4,3.1,24.8,Partially cloudy
977,03-09-2019,22.9,16.7,6.2,32.7,"Rain, Partially cloudy"
978,04-09-2019,15.5,10.1,5.4,14.6,Clear
979,05-09-2019,19.1,14.3,4.8,32.9,Partially cloudy
980,06-09-2019,19.9,14.3,5.6,30.2,Partially cloudy
981,07-09-2019,16.7,13.2,3.5,10.7,"Rain, Partially cloudy"
982,08-09-2019,15.3,12.9,2.4,23.1,"Rain, Overcast"
983,09-09-2019,17.2,16.1,1.1,27.1,"Rain, Partially cloudy"
984,10-09-2019,23.1,19,4.1,25,"Rain, Partially cloudy"
985,11-09-2019,21.9,19.4,2.5,37.3,"Rain, Partially cloudy"
986,12-09-2019,21.4,19.5,1.9,25.3,"Rain, Partially cloudy"
987,13-09-2019,15.3,11,4.3,34.4,"Rain, Partially cloudy"
988,14-09-2019,16.5,12.7,3.8,31.5,"Rain, Partially cloudy"
989,15-09-2019,20.6,16.7,3.9,8.3,Partially cloudy
990,16-09-2019,21.6,18.9,2.7,28.3,Partially cloudy
991,17-09-2019,24,19.2,4.8,31.5,Clear
992,18-09-2019,21.3,18.8,2.5,27.3,"Rain, Partially cloudy"
993,19-09-2019,22,19.4,2.6,17.2,"Rain, Partially cloudy"
994,20-09-2019,23.8,19.7,4.1,24.3,"Rain, Partially cloudy"
995,21-09-2019,22.6,20.3,2.3,40.7,"Rain, Partially cloudy"
996,22-09-2019,17.1,15.2,1.9,17.8,"Rain, Partially cloudy"
997,23-09-2019,16.5,10.6,5.9,20.1,Clear
998,24-09-2019,21.7,16.3,5.4,39.7,Rain
999,25-09-2019,16.7,10.8,5.9,26.8,Clear
1000,26-09-2019,15,7.4,7.6,26.8,Partially cloudy
1001,27-09-2019,17.5,11.5,6,27.3,"Rain, Partially cloudy"
1002,28-09-2019,14.1,8.9,5.2,23.4,"Rain, Partially cloudy"
1003,29-09-2019,14.3,13.3,1,23.6,"Rain, Overcast"
1004,30-09-2019,24.8,20,4.8,38.2,"Rain, Partially cloudy"
1005,01-10-2019,15.4,14.2,1.2,27.5,"Rain, Partially cloudy"
1006,02-10-2019,11.5,10.9,0.6,22,"Rain, Overcast"
1007,03-10-2019,9.1,5.9,3.2,28.8,"Rain, Partially cloudy"
1008,04-10-2019,8.7,3.8,4.9,19.8,Partially cloudy
1009,05-10-2019,11.1,8.8,2.3,35.1,"Rain, Partially cloudy"
1010,06-10-2019,12.1,4.2,7.9,37.3,Clear
1011,07-10-2019,11.9,3.6,8.3,21,Clear
1012,08-10-2019,12.3,4.4,7.9,39.9,Clear
1013,09-10-2019,14.1,6.8,7.3,36,Rain
1014,10-10-2019,12.6,11.4,1.2,33.7,"Rain, Partially cloudy"
1015,11-10-2019,2.5,-1.5,4,40.8,"Rain, Partially cloudy"
1016,12-10-2019,0.7,-3,3.7,38.8,"Rain, Partially cloudy"
1017,13-10-2019,3.1,-1.1,4.2,32.5,Overcast
1018,14-10-2019,5.2,-0.7,5.9,21.8,Clear
1019,15-10-2019,7,2.5,4.5,38.3,Partially cloudy
1020,16-10-2019,5.6,1.5,4.1,30.5,Partially cloudy
1021,17-10-2019,6.9,1.7,5.2,18.9,Clear
1022,18-10-2019,12.4,4.7,7.7,47.1,Clear
1023,19-10-2019,11.4,5.9,5.5,24,"Rain, Partially cloudy"
1024,20-10-2019,9.2,2.9,6.3,27.6,Clear
1025,21-10-2019,9.5,7.7,1.8,38.5,"Rain, Partially cloudy"
1026,22-10-2019,6.2,1.3,4.9,53.4,"Rain, Partially cloudy"
1027,23-10-2019,2.7,-0.2,2.9,20.1,"Rain, Partially cloudy"
1028,24-10-2019,2.5,-1.7,4.2,22.9,Partially cloudy
1029,25-10-2019,2.6,-2.8,5.4,23.3,Clear
1030,26-10-2019,2.9,-2.7,5.6,24.2,Clear
1031,27-10-2019,3,-0.2,3.2,27.3,Partially cloudy
1032,28-10-2019,0.3,-6.2,6.5,23.5,Partially cloudy
1033,29-10-2019,-0.4,-5.1,4.7,15.7,Partially cloudy
1034,30-10-2019,-1.5,-8.4,6.9,21.6,Partially cloudy
1035,31-10-2019,-2.8,-7.8,5,26.8,Partially cloudy
1036,01-11-2019,1.6,-3.2,4.8,24,"Rain, Partially cloudy"
1037,02-11-2019,1.1,-3.5,4.6,32.7,Partially cloudy
1038,03-11-2019,2.7,-0.2,2.9,20.1,"Rain, Partially cloudy"
1039,04-11-2019,3.2,0.3,2.9,28.8,Partially cloudy
1040,05-11-2019,-2.2,-6.7,4.5,17.9,Partially cloudy
1041,06-11-2019,-2.7,-5.4,2.7,29.5,"Snow, Partially cloudy"
1042,07-11-2019,-10.5,-14,3.5,18,Clear
1043,08-11-2019,-3.9,-8.5,4.6,35.1,Partially cloudy
1044,09-11-2019,2.2,-2.3,4.5,25.5,Clear
1045,10-11-2019,-1.3,-4.2,2.9,30.7,Partially cloudy
1046,11-11-2019,-9.6,-14.7,5.1,38.3,Partially cloudy
1047,12-11-2019,-12.3,-17.3,5,38.5,Clear
1048,13-11-2019,-4.2,-7.9,3.7,34.4,Partially cloudy
1049,14-11-2019,-4.2,-8.2,4,23.1,Partially cloudy
1050,15-11-2019,1.1,-3,4.1,24.1,Clear
1051,16-11-2019,1.8,-1.4,3.2,36.9,Clear
1052,17-11-2019,1.8,-0.3,2.1,26.8,"Rain, Overcast"
1053,18-11-2019,1.8,0.2,1.6,20.7,"Rain, Overcast"
1054,19-11-2019,3.6,1.7,1.9,22.1,"Rain, Partially cloudy"
1055,20-11-2019,5,2.5,2.5,34.8,"Rain, Partially cloudy"
1056,21-11-2019,1.9,0.3,1.6,44.8,"Rain, Partially cloudy"
1057,22-11-2019,-5.7,-8.1,2.4,25.3,Partially cloudy
1058,23-11-2019,-0.6,-3.7,3.1,26.4,Clear
1059,24-11-2019,2.3,-0.8,3.1,20.5,Partially cloudy
1060,25-11-2019,4.1,-0.3,4.4,34.9,Partially cloudy
1061,26-11-2019,1.4,-1.2,2.6,39.9,"Snow, Partially cloudy"
1062,27-11-2019,-1.4,-3.3,1.9,55.4,"Snow, Partially cloudy"
1063,28-11-2019,-3.7,-6,2.3,22.5,Partially cloudy
1064,29-11-2019,-0.9,-1.8,0.9,28.5,"Snow, Overcast"
1065,30-11-2019,1.3,0.5,0.8,45.9,"Snow, Overcast"
1066,01-12-2019,-1.1,-2.7,1.6,38.8,"Snow, Overcast"
1067,02-12-2019,-7.3,-9.6,2.3,26.9,Clear
1068,03-12-2019,-1.3,-4.3,3,26.4,Clear
1069,04-12-2019,-1,-3.5,2.5,25.2,Clear
1070,05-12-2019,-0.8,-2.6,1.8,35.1,Clear
1071,06-12-2019,-4.9,-7.1,2.2,40.6,Partially cloudy
1072,07-12-2019,-0.8,-3.8,3,31.1,Clear
1073,08-12-2019,1,-2,3,30.8,Clear
1074,09-12-2019,-8.2,-10.6,2.4,45.5,"Snow, Partially cloudy"
1075,10-12-2019,-15,-18.7,3.7,29.1,Partially cloudy
1076,11-12-2019,-12.8,-16.9,4.1,20,Snow
1077,12-12-2019,-6,-8.4,2.4,32.2,Partially cloudy
1078,13-12-2019,-7.6,-8.9,1.3,24.7,Partially cloudy
1079,14-12-2019,-10.9,-13.5,2.6,33.9,Partially cloudy
1080,15-12-2019,-14.1,-16.8,2.7,16.1,Partially cloudy
1081,16-12-2019,-8.2,-9.9,1.7,17.4,Partially cloudy
1082,17-12-2019,-6,-8,2,28.3,Partially cloudy
1083,18-12-2019,-12,-16.6,4.6,27.8,Clear
1084,19-12-2019,-4.6,-6.8,2.2,19.9,Clear
1085,20-12-2019,-1.3,-4.3,3,22.4,Clear
1086,21-12-2019,-1.5,-4.3,2.8,23.8,Clear
1087,22-12-2019,2.3,-1.3,3.6,23.4,Clear
1088,23-12-2019,2.1,-0.6,2.7,21.4,Clear
1089,24-12-2019,1.4,-0.2,1.6,19.7,Clear
1090,25-12-2019,3.1,1.2,1.9,16.2,Clear
1091,26-12-2019,-0.3,-1.7,1.4,26.5,Overcast
1092,27-12-2019,-1.3,-3.9,2.6,22.7,Partially cloudy
1093,28-12-2019,1.1,-0.2,1.3,28.6,"Rain, Overcast"
1094,29-12-2019,2.9,1.8,1.1,32.8,"Snow, Partially cloudy"
1095,30-12-2019,-4.2,-6,1.8,45.4,"Snow, Partially cloudy"
1096,31-12-2019,-6.4,-9,2.6,37.4,Partially cloudy
